Date,Open,High,Low,Close,Adj Close,Volume
2021-11-26,159.570007,160.449997,156.360001,156.809998,155.905167,76959800
2021-11-29,159.369995,161.190002,158.789993,160.240005,159.315369,88748200
2021-11-30,159.990005,165.520004,159.919998,165.300003,164.346176,174048100
2021-12-01,167.479996,170.300003,164.529999,164.770004,163.819244,152052500
